‘ª’èŽžŠÔ	T1Raw	T2Raw	T3Raw	T4Raw	
         0	0.00208601	-0.02722684	0.00337448	0.00434084	
         1	0.01110534	-0.02915956	0.00788415	0.00111965	
         2	-0.00467850	-0.01369784	0.01110534	-0.00177943	
         3	-0.00532274	0.02366799	0.01110534	-0.00886605	
         4	-0.00177943	0.06650986	0.00852839	-0.00306790	
         5	0.01658137	0.03333157	0.00820627	-0.00242366	
         6	0.01078323	0.01078323	0.00723991	-0.00242366	
         7	0.00111965	0.00595144	0.00562932	-0.00693333	
         8	-0.00886605	0.00917263	0.00079753	-0.00951029	
         9	-0.01208724	0.00498508	-0.00274578	-0.00403426	
        10	-0.00564486	0.01754773	-0.00564486	-0.00371214	
        11	-0.00886605	0.01174958	-0.00725545	0.00305236	
        12	-0.01112088	0.00111965	-0.00757757	0.00852839	
        13	-0.01401996	0.00627356	-0.00983241	0.01110534	
        14	-0.00081307	0.00756203	-0.01144300	0.01013899	
        15	-0.00242366	0.01529289	-0.00951029	0.00562932	
        16	-0.00242366	0.01754773	-0.00564486	0.00369660	
        17	0.00305236	0.01561501	-0.00403426	0.00208601	
        18	0.01110534	-0.02948168	-0.00596698	-0.00177943	
        19	-0.00081307	-0.03785678	-0.00081307	-0.00210154	
        20	-0.02014022	-0.01691903	0.00498508	0.00144177	
        21	-0.01401996	0.00240812	0.00595144	0.00788415	
        22	0.01174958	-0.00274578	0.01239382	0.00079753	
        23	0.01658137	-0.01981810	0.01142746	-0.00274578	
        24	0.01625925	-0.01112088	0.00885051	-0.00661121	
        25	0.00659567	-0.04397704	0.00820627	0.00144177	
        26	0.00562932	-0.04558764	0.00949475	-0.00210154	
        27	0.01110534	0.01497078	0.00562932	-0.00564486	
        28	0.01271594	0.00756203	0.00240812	-0.00339002	
        29	-0.00403426	-0.01466419	-0.00210154	-0.00210154	
        30	-0.01852963	-0.05203002	-0.00339002	-0.00081307	
        31	-0.01595267	0.00208601	-0.00242366	0.00659567	
        32	-0.02336141	0.02205740	-0.01047664	0.00595144	
        33	-0.01563055	0.06554350	-0.01112088	0.00820627	
        34	0.00498508	0.05652416	-0.01240936	0.00498508	
        35	-0.01176512	0.04911542	-0.00822181	-0.00016883	
        36	-0.01659691	0.03011038	-0.01144300	-0.00274578	
        37	-0.01498631	0.01142746	-0.00951029	-0.00564486	
        38	-0.01434208	0.00659567	-0.00371214	-0.00596698	
        39	-0.00854393	0.00820627	0.00047541	-0.00789969	
        40	-0.01369784	0.01336018	0.00273024	-0.00467850	
        41	-0.00628909	-0.00145731	0.00498508	-0.00628909	
        42	0.00337448	-0.01369784	0.00691779	-0.00403426	
        43	0.00434084	-0.01208724	0.00852839	0.00691779	
        44	0.00562932	0.01078323	0.00852839	0.00305236	
        45	0.00401872	-0.00403426	0.00852839	0.00208601	
        46	0.00820627	-0.01015453	0.00305236	-0.00145731	
        47	0.00756203	0.02173528	0.00466296	-0.00145731	
        48	0.00691779	0.00981687	-0.00049095	-0.00210154	
        49	0.00176389	0.01046111	-0.00467850	0.00047541	
        50	0.00369660	0.03172098	-0.00661121	-0.00113519	
        51	-0.00435638	0.05072601	-0.00435638	-0.00145731	
        52	0.00208601	-0.02432777	-0.00725545	-0.00049095	
        53	0.01013899	-0.04333281	-0.00951029	-0.00016883	
        54	0.01174958	-0.03592406	-0.01273148	0.00015329	
        55	0.00756203	-0.03624618	-0.01079876	0.00208601	
        56	0.00240812	-0.00983241	-0.00693333	-0.00016883	
        57	0.00659567	-0.01208724	-0.00725545	0.00111965	
        58	0.00369660	-0.01595267	-0.00371214	-0.00113519	
        59	0.00466296	-0.02046234	0.00015329	0.00111965	
        60	0.00820627	-0.02658261	0.00176389	0.00176389	
        61	0.00852839	-0.01981810	0.00659567	-0.00016883	
        62	0.01078323	-0.02046234	0.00691779	0.00015329	
        63	0.00691779	0.00401872	0.00852839	-0.00274578	
        64	-0.00596698	0.01561501	0.01110534	-0.00177943	
        65	-0.00532274	0.00562932	0.01013899	-0.00339002	
        66	0.00015329	-0.00081307	0.00530720	-0.00274578	
        67	-0.00177943	-0.00403426	0.00562932	-0.00210154	
        68	-0.00371214	-0.00306790	0.00208601	-0.00306790	
        69	-0.00145731	-0.00403426	-0.00242366	-0.00403426	
        70	0.00047541	-0.00049095	-0.00274578	-0.00145731	
        71	0.00144177	-0.00339002	-0.00789969	0.00015329	
        72	0.00305236	-0.00564486	-0.00951029	0.00111965	
        73	0.00144177	-0.01788539	-0.01112088	0.00401872	
        74	-0.00467850	-0.02303929	-0.01079876	0.00273024	
        75	-0.01112088	-0.02626049	-0.00886605	0.00369660	
        76	-0.00757757	-0.02851532	-0.00918817	0.00176389	
        77	-0.00951029	0.00949475	-0.00596698	-0.00177943	
        78	-0.00854393	0.05137025	-0.00532274	-0.00016883	
        79	0.00047541	0.01819197	0.00144177	-0.00081307	
        80	0.00498508	0.01754773	0.00079753	0.00111965	
        81	0.02109104	0.00723991	0.00723991	0.00079753	
        82	0.01497078	0.00305236	0.01013899	-0.00145731	
        83	0.00466296	0.00240812	0.01013899	-0.00016883	
        84	0.00305236	-0.00049095	0.01046111	-0.00145731	
        85	0.00498508	-0.00177943	0.00756203	0.00015329	
        86	0.00144177	-0.00596698	0.00337448	-0.00049095	
        87	0.00788415	-0.00725545	0.00466296	-0.00403426	
        88	0.00273024	0.00498508	0.00176389	-0.00306790	
        89	0.00530720	0.00981687	0.00111965	-0.00371214	
        90	0.00434084	0.01368230	-0.00435638	-0.00210154	
        91	-0.00596698	0.01207170	-0.00725545	0.00434084	
        92	-0.01820751	0.00498508	-0.00822181	0.00208601	
        93	-0.01917386	-0.01144300	-0.00951029	-0.00145731	
        94	-0.01305360	-0.00500062	-0.01079876	-0.00274578	
        95	-0.01144300	0.00015329	-0.01208724	0.00079753	
        96	-0.01434208	0.00562932	-0.00822181	0.00015329	
        97	-0.02110658	0.00852839	-0.00467850	0.00498508	
        98	-0.00628909	0.00756203	-0.00049095	0.00498508	
        99	-0.00113519	0.00659567	0.00466296	0.00498508	
       100	-0.00177943	0.00691779	0.00434084	0.00176389	
       101	-0.00242366	-0.00532274	0.00820627	0.00401872	
       102	-0.00049095	-0.00918817	0.00852839	0.00401872	
       103	-0.00532274	-0.00177943	0.01013899	0.00723991	
       104	-0.00693333	-0.00564486	0.01303806	0.00562932	
       105	-0.00403426	-0.01176512	0.00917263	0.00691779	
       106	-0.00049095	-0.00628909	0.00595144	0.00466296	
       107	0.00530720	-0.00983241	0.00337448	-0.00177943	
       108	0.01174958	-0.01015453	0.00305236	-0.00435638	
       109	0.01174958	-0.01530843	-0.00210154	-0.00210154	
       110	0.01207170	-0.01144300	-0.00371214	-0.00339002	
       111	0.01400442	-0.01144300	-0.00564486	-0.00306790	
       112	0.00273024	0.00917263	-0.00983241	-0.00145731	
       113	-0.00339002	0.01658137	-0.01015453	0.00111965	
       114	0.00273024	0.00723991	-0.00854393	-0.00049095	
       115	0.00240812	0.01013899	-0.00854393	-0.00822181	
       116	0.00273024	0.00498508	-0.00628909	-0.00661121	
       117	0.00144177	0.00208601	-0.00339002	-0.00371214	
       118	0.00079753	0.00530720	-0.00145731	-0.00822181	
       119	-0.00822181	0.01658137	0.00337448	-0.01208724	
       120	-0.00951029	0.01013899	0.00337448	-0.00628909	
       121	-0.00886605	0.00756203	0.00498508	-0.00113519	
       122	-0.00661121	0.00595144	0.00981687	0.01271594	
